track_id,name,album,artist,release_date,length,popularity,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,mode,playlist_id,year,decade
7eukWhfJ4WRkRnyeVyAFMs,Ehsaan Tera Hoga Mujh Par,Junglee (Original Motion Picture Soundtrack),Various Artists,1/28/2014,2.0898599999989999e-07,12,4,0.985,0.38,0.389,0.000602,0.151,-7.241,0.0419,175.505,0.49,4,1,6mx7rVYF6ed2JTMegQ8SY0,2014,2010
3Jstl9LdDVzYyZwKouZ21W,Chahe Mujhe Koi Junglee Kahe,Junglee (Original Motion Picture Soundtrack),Various Artists,1/28/2014,2.1371999999989998e-07,12,3,0.925,0.485,0.847,0.0,0.11,-6.312,0.0736,147.565,0.803,4,1,6mx7rVYF6ed2JTMegQ8SY0,2014,2010
3MrRm2gBu7wUVPcZWKanai,Mera Saaya Saath Hoga,Mera Saaya (Original Motion Picture Soundtrack),Madan Mohan,12/1/1966,3.6319999999989997e-07,12,2,0.982,0.557,0.422,0.1,0.229,-10.23,0.0285,95.235,0.583,4,1,6mx7rVYF6ed2JTMegQ8SY0,1966,1960
7wJw4NRtBOXLhgmbxhLAs3,Jhoomka Gira Re,Mera Saaya (Original Motion Picture Soundtrack),Madan Mohan,12/1/1966,2.96825e-07,13,8,0.901,0.598,0.787,0.000191,0.812,-4.92,0.16,93.159,0.964,4,1,6mx7rVYF6ed2JTMegQ8SY0,1966,1960
1kKxvLPfgpG5NRJ9MAmYsu,Lag Ja Gale Se Phir,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,11/1/2013,2.576129999999e-07,37,8,0.796,0.312,0.452,0.000874,0.286,-11.872,0.0391,132.485,0.391,3,1,6mx7rVYF6ed2JTMegQ8SY0,2013,2010
0tswWwzqhnTAfuqRgfOWS4,Naina Barse Rimjhim Rimjhim,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,11/1/2013,3.8513099999990003e-07,18,6,0.985,0.437,0.393,0.523,0.16,-8.124,0.0383,129.373,0.256,4,1,6mx7rVYF6ed2JTMegQ8SY0,2013,2010
1T2gR5wezU89f62bJ5yj1f,Jo Hamne Daastaan Apnee,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,11/1/2013,1.9635e-07,12,8,0.981,0.475,0.304,0.0487,0.101,-10.555,0.037,99.474,0.513,4,1,6mx7rVYF6ed2JTMegQ8SY0,2013,2010
08TF8HbknxGoTA6uk4R8dc,Aawaz Deke Humen Tum Bulao,Professor (Original Motion Picture Soundtrack),Shankar Jaikishan,12/30/1962,1.94546e-07,15,3,0.985,0.301,0.326,0.186,0.139,-13.066,0.0405,158.223,0.556,5,0,6mx7rVYF6ed2JTMegQ8SY0,1962,1960
0riEPsBGr8VT98piKmm2l6,Aye Gulbadan,Professor (Original Motion Picture Soundtrack),Shankar Jaikishan,12/30/1962,2.0032e-07,22,8,0.817,0.631,0.403,0.0,0.427,-12.542,0.0376,122.963,0.794,4,0,6mx7rVYF6ed2JTMegQ8SY0,1962,1960
6PpkGWbKqzgH60818BJF64,Pardesiyon Se Na Ankhiyan Milana - Male Vocals,Jab Jab Phool Khile (Original Motion Picture Soundtrack),Kalyanji-Anandji,10/22/1965,1.9656e-07,12,7,0.953,0.463,0.344,0.0592,0.0931,-14.825,0.043,141.575,0.641,4,0,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
5y1lp6YObOD1dAjj9Qdb0K,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile (Original Motion Picture Soundtrack),Kalyanji-Anandji,10/22/1965,2.86296e-07,30,5,0.988,0.425,0.449,0.0684,0.0997,-8.754,0.0655,126.553,0.395,4,1,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
7ofEMQUjM7oue8LQIvRRND,Pardesiyon Se Na Ankhiyan Milana - Happy Version,Jab Jab Phool Khile (Original Motion Picture Soundtrack),Kalyanji-Anandji,10/22/1965,1.91506e-07,19,2,0.825,0.517,0.584,3.98e-06,0.625,-9.297,0.0721,80.396,0.744,4,0,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
2DG0ccrVYIh3qk3ske5jTz,Aaj Phir Jeene Ki Tamanna Hai,Guide (Original Motion Picture Soundtrack),S. D. Burman,12/1/1965,2.3826599999990002e-07,27,9,0.983,0.433,0.497,0.911,0.101,-10.732,0.0345,97.491,0.782,4,0,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
2OhvOLNOFPiZKeoyR0pHwm,Tere Mere Sapne Ab Ek Rang Hain (with Dialogues),Guide (Original Motion Picture Soundtrack),S. D. Burman,12/1/1965,2.66866e-07,15,3,0.819,0.43,0.472,0.00172,0.42,-11.907,0.0369,87.249,0.592,3,1,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
5kg0XNporvdIBqQDeqiMY2,Honthon Mein Aisi Baat,Jewel Thief (Original Motion Picture Soundtrack),S. D. Burman,12/30/1967,4.7565999999999996e-07,22,9,0.905,0.567,0.666,0.247,0.443,-6.888,0.274,111.315,0.795,4,1,6mx7rVYF6ed2JTMegQ8SY0,1967,1960
3SVvi6aaLccwfsGPRq9eGz,Dil Pukare Aare Aare (with Dialogues),Jewel Thief (Original Motion Picture Soundtrack),S. D. Burman,12/30/1967,4.403999999999e-07,11,10,0.899,0.436,0.328,0.000144,0.104,-13.16,0.157,98.118,0.5,4,1,6mx7rVYF6ed2JTMegQ8SY0,1967,1960
4yyHoq9H1FGCmvILGJNzMP,Dil Ke Jharokhe Mein,Brahmachari (Original Motion Picture Soundtrack),Shankar Jaikishan,12/1/1967,3.98986e-07,27,11,0.892,0.468,0.677,0.774,0.446,-9.047,0.0325,102.944,0.664,4,0,6mx7rVYF6ed2JTMegQ8SY0,1967,1960
1ckksoSmhxfBE7hk5a9JNn,Aajkal Tere Mere Pyar Ke Charche,Brahmachari (Original Motion Picture Soundtrack),Shankar Jaikishan,12/1/1967,3.09493e-07,18,9,0.858,0.556,0.792,0.007,0.596,-10.683,0.0715,98.554,0.776,4,1,6mx7rVYF6ed2JTMegQ8SY0,1967,1960
56uBWbsLwEznt8QWbI4w3V,Gumnaam Hai Koi Badnaam Hai Koi,Gumnaam (Original Motion Picture Soundtrack),Shankar Jaikishan,12/1/1965,3.1908199999999997e-07,20,0,0.95,0.396,0.331,0.000281,0.403,-8.087,0.0305,94.803,0.547,4,0,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
18vpZIyODBUHa1OIS1L5Hi,Tumne Pukara Aur Hum Chale Aaye,Raj Kumar (Original Motion Picture Soundtrack),Shankar Jaikishan,12/30/1964,3.26333e-07,19,8,0.969,0.379,0.399,0.00197,0.386,-10.707,0.0417,95.231,0.547,4,1,6mx7rVYF6ed2JTMegQ8SY0,1964,1960
1H0Emv03XFvyMaLY0NqnUg,Is Rang Badalti Duniya Mein,Raj Kumar (Original Motion Picture Soundtrack),Shankar Jaikishan,12/30/1964,2.731199999999e-07,14,7,0.976,0.459,0.339,0.0126,0.365,-7.485,0.0632,97.591,0.616,4,1,6mx7rVYF6ed2JTMegQ8SY0,1964,1960
7b6QWFFhvSSKeE38zixIrd,Mere Samnewali Khidki Mein,Padosan (Original Motion Picture Soundtrack),R. D. Burman,12/1/1967,1.72173e-07,28,7,0.839,0.705,0.591,0.000476,0.0968,-9.549,0.217,139.782,0.768,4,0,6mx7rVYF6ed2JTMegQ8SY0,1967,1960
47oE1sGVKBgdYNSjLRrYxU,Chup Gaye Sare Nazare,Do Raaste (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,12/30/1969,3.29274e-07,32,3,0.956,0.414,0.548,0.038,0.119,-9.1,0.0936,80.407,0.586,4,0,6mx7rVYF6ed2JTMegQ8SY0,1969,1960
0Is8MSBOFmkzxQrev3xYu0,Bindiya Chamke Gi,Do Raaste (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,12/30/1969,3.4647e-07,20,7,0.99,0.635,0.437,0.0813,0.0672,-8.297,0.0623,82.032,0.688,4,0,6mx7rVYF6ed2JTMegQ8SY0,1969,1960
1KKusvyZyBmrYTuk9YR0Nk,Jab Chali Thandi Hawa,Do Badan (Original Motion Picture Soundtrack),Ravi,12/1/1966,2.32146e-07,16,8,0.954,0.554,0.414,0.00035,0.177,-10.179,0.0523,127.415,0.818,4,1,6mx7rVYF6ed2JTMegQ8SY0,1966,1960
3sSdq6VX6iwv8VEkbC0AvV,Khai Hai Re Ham Ne Qasam,Talash (Original Motion Picture Soundtrack),S. D. Burman,1/1/1969,2.5066599999999995e-07,10,3,0.983,0.482,0.391,0.00286,0.215,-10.555,0.0506,112.982,0.714,4,1,6mx7rVYF6ed2JTMegQ8SY0,1969,1960
5DhWbhLe66cqWxJzxDvh7L,Aaj Ki Junli Raat Ma,Talash (Original Motion Picture Soundtrack),S. D. Burman,1/1/1969,4.19173e-07,10,7,0.847,0.5,0.561,1.07e-05,0.123,-10.984,0.0986,106.779,0.813,4,1,6mx7rVYF6ed2JTMegQ8SY0,1969,1960
3V4xJQuAip7DMc1Q49fnMN,Palkon Ke Peechhe Se,Talash (Original Motion Picture Soundtrack),S. D. Burman,1/1/1969,2.8346600000000003e-07,15,5,0.968,0.627,0.45,0.271,0.107,-9.208,0.0314,95.042,0.798,3,1,6mx7rVYF6ed2JTMegQ8SY0,1969,1960
6J8f9R7iv3XiUdznTTRgx5,Bedardi Balma Tujhko,Arzoo (Original Motion Picture Soundtrack),Shankar Jaikishan,9/3/1965,2.9925299999999996e-07,14,6,0.932,0.436,0.382,0.00296,0.365,-9.253,0.0313,99.051,0.513,4,1,6mx7rVYF6ed2JTMegQ8SY0,1965,1960
0NMHJgkmn6heDuxpL2brXX,Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand (Original Motion Picture Soundtrack),Ravi,12/1/1960,2.23506e-07,26,7,0.899,0.524,0.28,0.0,0.144,-7.078,0.0289,97.694,0.525,4,1,6mx7rVYF6ed2JTMegQ8SY0,1960,1960
31FumhpEaNtbMrXsMEhQTP,"Jo Wada Kiya Woh Nibhana Padega, Pt. 1",Taj Mahal (Original Motion Picture Soundtrack),Roshan,12/1/1963,1.92773e-07,19,11,0.682,0.344,0.621,0.00018,0.546,-5.074,0.0306,78.899,0.556,4,0,6mx7rVYF6ed2JTMegQ8SY0,1963,1960
