playlist_name,playlist_id,decade,user_id,language
60s Bollywood Hits,6mx7rVYF6ed2JTMegQ8SY0,1960,12163512469,hindi
60s Hindi Hit Songs,3dKv6gpADy34FI6rcP7DAT,1960,nq6nh207vo927cq4wpquchuor,hindi
70s Bollywood Hits,5p88YPX4eSead8hq0OCKAp,1970,12163512469,hindi
70s Evergreen Hindi,1arIwnl806bdxvrgTEuvLw,1970,juhere,hindi
All out 70s,37i9dQZF1DX9kVlnA5Si6s,1970,spotify,hindi
All out 80s,37i9dQZF1DX5rOEFf3Iycd,1980,spotify,hindi
All out 60s,37i9dQZF1DXa1eCiO3E6Rr,1960,spotify,hindi
80s Hindi Hit Songs,2o7YgEXIRPoQGHyFTuoJCS,1980,nq6nh207vo927cq4wpquchuor,hindi
80s Hindi Songs,4Ja9naAu5wU8LC4xanc0pK,1980,brar,hindi
All out 90s,37i9dQZF1DXa2huSXaKVkW,1990,spotify,hindi
90s Hindi Super Hit Songs,70VQP8EHThS1uGVRq0qN9Z,1990,31gcvbwv54sachjs4n2gq7vqek6e,hindi
Bollywood 90s Evergreen Songs,34nx68uXAiYvsrDdD1giJa,1990,1153734426,hindi
90s Hindi Songs Old Bollywood Hits,1zpooNgRto3yMMDslyB1tn,1990,ijsmewgej8y74miune5qqpemt,hindi
Hindi 90s Hits,2poyZdIZgxPXymgKgH45Mu,1990,dqxwpqm2eemmgmzz4wk4dws45,hindi
90s Hindi Melodies,qi4jxs8hlj44noibkzc8p7epu,1990,qi4jxs8hlj44noibkzc8p7epu,hindi
All out 00s,37i9dQZF1DWZNJXX2UeBij,2000,spotify,hindi
Hindi 2000s Hits,3kRi9OHXNYJeSxYjqK2qfJ,2000,dqxwpqm2eemmgmzz4wk4dws45,hindi
2000s Bollywood Romance,2Lw2dIL7pg5haDmtUSjzPq,2000,2lvhidqu8hlw1dmquzbru2dgc,hindi
Music styles,2Kj5NUtVetggUDHPIGC9U7,2000,18xlfdxs3niwir1kh97eyqwa8,hindi
2000s Hindi Party,4z6K8rFn6rjR5gddqWs0D2,2000,natty_1998,hindi
Hindi 2010s Hits,1pZmVlfPBUNMS19bBy3Qap,2010,1242150713,hindi
Hot Hindi Hits 2010-2020,4wJLkwU84uscxJ7SOlmUX1,2010,sankethbe,hindi
Top Hindi Tracks of 2021,37i9dQZF1DX7BXvxNJkwzB,2020,spotify,hindi
Top Hindi Tracks of 2022,37i9dQZF1DX0XUfTFmNBRM,2020,spotify,hindi
Indie India,37i9dQZF1DX5q67ZpWyRrZ,2020,spotify,hindi
Disco 80s,4PS7niVvIybq4KFGLDcy6D,2020,7q5ws0v7bqfv542b59pnsfgvh,hindi
