track_id,name,album,artist,release_date,length,popularity,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,mode,playlist_id,year,decade
59HjNZgoziKgAwGOhrKRPJ,Tere Mere Sapne Ab Ek Rang Hain,Guide,S. D. Burman,12/6/1965,0.000261278,47,3,0.978,0.246,0.402,0.159,0.15,-12.103,0.0369,174.8,0.552,3,1,37i9dQZF1DXa1eCiO3E6Rr,1965,1960
1P278K5LuPJOatR1wBUywC,Aane Se Uske Aaye Bahar,Jeene Ki Raah,Laxmikant–Pyarelal,1/1/1969,0.000247613,51,6,0.886,0.37,0.412,0.00297,0.0869,-14.738,0.036,95.448,0.668,4,0,3dKv6gpADy34FI6rcP7DAT,1969,1960
7ukboFFuDuxKWRdxahmth7,Beqarar Karke Hamen Yun Na Jaiye,Bees Saal Baad,Hemant Kumar,1/1/1962,0.00018988,51,10,0.971,0.653,0.446,0.251,0.621,-11.823,0.0483,113.465,0.757,4,0,3dKv6gpADy34FI6rcP7DAT,1962,1960
6xCnMMPkIIhn3QyGJgd5xd,Ae Mere Zohra Jabeen,Waqt,Ravi,7/28/1965,0.00023533299999999998,52,6,0.984,0.441,0.463,0.151,0.0993,-11.476,0.0742,79.582,0.514,3,0,3dKv6gpADy34FI6rcP7DAT,1965,1960
1AlatlIkROgLvG6pgBBnAz,Roop Tera Mastana,Aradhana,S. D. Burman,9/27/1969,0.000225213,55,8,0.666,0.449,0.53,7.3e-06,0.234,-8.787,0.0951,83.362,0.543,4,0,3dKv6gpADy34FI6rcP7DAT,1969,1960
0C47mkZ7VGcnKBvEG7PiAP,Abhi Na Jao Chhod Kar,Hum Dono,Jaidev,1/1/1961,0.000255026,56,3,0.607,0.521,0.421,0.187,0.329,-9.856,0.0355,96.444,0.551,3,1,3dKv6gpADy34FI6rcP7DAT,1961,1960
0es02Rp0p0WpC4WRBDtM8P,Likhe Jo Khat Tujhe,Kanyadaan,Shankar Jaikishan,1/1/1968,0.000273533,57,11,0.89,0.375,0.449,0.139,0.326,-13.439,0.0337,106.603,0.744,4,0,3dKv6gpADy34FI6rcP7DAT,1968,1960
1kcgh8BXTRWyKG7YHmhkIW,Tum Agar Saath Dene Ka Vada Karo,Hamraaz,Ravi,10/16/1967,0.0003910659999999999,50,11,0.915,0.414,0.336,0.0026,0.118,-10.792,0.0363,149.238,0.533,4,1,3dKv6gpADy34FI6rcP7DAT,1967,1960
11IpCZVWahQVaRNoNX5WbF,Aap Ki Nazron Ne Samjha,Anpadh,Madan Mohan,1/1/1961,0.000234893,47,4,0.818,0.339,0.373,0.0,0.61,-9.576,0.0409,173.743,0.583,1,0,3dKv6gpADy34FI6rcP7DAT,1961,1960
1xNN6c8eW8Mm9uz9nVqln9,Isharon Isharon Men Dil Lenewale,Kashmir Ki Kali,O. P. Nayyar,1/1/1964,0.0002904,48,5,0.964,0.439,0.447,0.00213,0.136,-7.341,0.0413,137.156,0.56,4,1,3dKv6gpADy34FI6rcP7DAT,1964,1960
5mmaCeOHi3qKL2kwlCBKZ7,Main Shair To Nahin,Bobby (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,12/1/1973,0.000333746,39,4,0.835,0.295,0.472,0.0,0.134,-12.074,0.0406,144.167,0.587,3,0,5p88YPX4eSead8hq0OCKAp,1973,1970
3h5YZTfJ4BBpvLVHS6lGUl,Kya Khoob Lagti Ho,Dharmatma,Kalyanji-Anandji,4/30/1975,0.00023913300000000002,57,6,0.723,0.429,0.644,7.17e-05,0.383,-9.102,0.0383,132.216,0.658,4,1,1zpooNgRto3yMMDslyB1tn,1975,1970
2NBY05e6mIWtXtDJfdV853,Yunhi Tum Mujhse - From Sachaa Jhutha,Sachaa Jhutha,Various Artists,1/1/1970,0.000257386,49,8,0.879,0.658,0.582,0.0,0.0997,-9.613,0.0879,117.968,0.884,3,1,5p88YPX4eSead8hq0OCKAp,1970,1970
5NXMJohXmuL5OtomY0VR6I,Kehdoon Tumhen - Deewaar / Soundtrack Version,Deewaar,Various Artists,1/1/1975,0.0002214799999999999,45,9,0.698,0.329,0.778,1.38e-05,0.136,-1.036,0.0468,103.814,0.667,4,1,5p88YPX4eSead8hq0OCKAp,1975,1970
418v2RdbaHUOdWJt5AzOMP,Kabhi Kabhi Mere Dil Mein - Duet,Kabhi Kabhie (Original Motion Picture Soundtrack),Khayyam,12/30/1976,0.000298579,42,4,0.979,0.506,0.315,5.73e-05,0.626,-10.438,0.0316,110.703,0.398,4,1,5p88YPX4eSead8hq0OCKAp,1976,1970
2wFILyz3whKS43ZmSLdNYJ,Kahin Door Jab Din Dhal Jaye,Anand (Original Motion Picture Soundtrack),Salil Chowdhury,12/31/1970,0.000337386,38,5,0.852,0.524,0.423,1.04e-06,0.301,-7.392,0.0348,91.372,0.484,4,1,1arIwnl806bdxvrgTEuvLw,1970,1970
3f7jtMmhMeHDUWFZSAsdcr,"Mehbooba Mehbooba - From “Sholay Songs And Dialogues, Vol. 2” Soundtrack",Sholay,Various Artists,1/1/1975,0.00023424,39,3,0.978,0.528,0.477,0.557,0.112,-10.454,0.0358,111.511,0.422,4,1,37i9dQZF1DX9kVlnA5Si6s,1975,1970
5WDhqq4AlF4nuaep2QWDdE,Zindagi Kaisi Hai Paheli,Anand (Original Motion Picture Soundtrack),Salil Chowdhury,12/31/1970,0.0002092129999999999,37,0,0.857,0.374,0.62,5.02e-06,0.343,-6.486,0.0373,97.23,0.529,4,1,37i9dQZF1DX9kVlnA5Si6s,1970,1970
3P30d9Ayuy7IW88RvAvFMl,Main Pal Do Pal Ka Shair Hoon,Kabhi Kabhie (Original Motion Picture Soundtrack),Khayyam,12/30/1976,0.00020404,40,4,0.85,0.566,0.334,0.0,0.632,-13.626,0.0309,124.193,0.64,4,1,37i9dQZF1DX9kVlnA5Si6s,1976,1970
2LQQwhjAAO9fY7Qys29OTM,Kabhi Kabhi Mere Dil Mein,Kabhi Kabhie (Original Motion Picture Soundtrack),Khayyam,12/30/1976,0.000285022,38,4,0.941,0.492,0.264,6.06e-06,0.241,-13.1,0.0308,109.057,0.515,4,1,37i9dQZF1DX9kVlnA5Si6s,1976,1970
3mLhme6vdUX2wTgv7cVUtb,Janu Meri Jaan - Shaan / Soundtrack Version,Shaan,Various Artists,1/1/1980,0.000426506,53,9,0.673,0.492,0.486,6.31e-06,0.238,-10.317,0.0558,134.355,0.783,4,1,2o7YgEXIRPoQGHyFTuoJCS,1980,1980
0dUbhFM18NyBDDpiktEQLk,Ae Mere Humsafar,Qayamat Se Qayamat Tak,Anand-Milind,1/4/1988,0.00035584,61,7,0.499,0.436,0.499,5.01e-05,0.308,-12.909,0.0356,103.104,0.551,4,0,37i9dQZF1DX5rOEFf3Iycd,1988,1980
5B29YNjG7dx0GfU19ZBEpo,Dekha Ek Khwab,Silsila,Shiv Hari,7/29/1981,0.00032073299999999997,57,4,0.941,0.367,0.299,0.00402,0.423,-14.557,0.0597,147.363,0.383,3,1,2o7YgEXIRPoQGHyFTuoJCS,1981,1980
28rMrOeusmuvjDuf6j3Kwg,Main Duniya Bhula Doonga,Aashiqui,Bhushan Dua,12/26/1989,0.000318293,55,9,0.765,0.361,0.716,0.00362,0.308,-8.219,0.0399,156.6,0.648,3,0,70VQP8EHThS1uGVRq0qN9Z,1989,1980
02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,Kalaakaar (Original Motion Picture Soundtrack),Kalyanji-Anandji,6/10/1983,0.00032,64,0,0.628,0.562,0.696,0.0,0.172,-7.612,0.0397,93.801,0.722,4,1,1arIwnl806bdxvrgTEuvLw,1983,1980
66KBRmenGEJkTKtbTWl7tS,Tum Ko Dekha To Yeh Khayal Aaya,Saath Saath,Kuldeep Singh,4/3/1982,0.000291066,55,2,0.907,0.354,0.272,0.615,0.0848,-13.642,0.0293,90.566,0.262,4,1,2o7YgEXIRPoQGHyFTuoJCS,1982,1980
